Property Address,Property Name,Number Of Units,Building Class,City,State,Zip,Avg Unit SF,Avg Asking/SF,Avg Asking/Unit,For Sale Price,Cap Rate,$Price/Unit,Sale Company Name,Sale Company Phone,Sale Company Contact,Vacancy %,Year Built,Year Renovated,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,Owner Name,Owner Address,Owner City State Zip,Owner Contact,Owner Phone,Property Manager Name,Property Manager Phone,Recorded Owner Name,Recorded Owner Contact,Recorded Owner Phone,Recorded Owner Address,Recorded Owner City State Zip,One Bedroom Effective Rent/Unit,Studio Effective Rent/Unit,Two Bedroom Asking Rent/Unit,Three Bedroom Effective Rent/Unit
2001 S Defiance St,Fox Chase,50,C,Archbold,OH,43502-9496,800.00,,,,,,,,,2.3,1920,,50,,,,Lawrence Koesters,640 Buckeye Ln,"Napoleon, OH 43545",Lawrence Koesters,4199660956,Fox Chase,4195922103,,,,,,,,,
1013 Dorr St,New Town Apartments,100,B,Toledo,OH,43607,817.00,,,,,,,,,2.5,1978,,50,50,,,Ralston Square Apartments,548 Pontiac Dr,"Defiance, OH 43512-1456",Jana McWhite,4192412538,New Town Apartments,4192241253,New Town Apartments 2013,,,2274 Glenwood Ave,"Toledo, OH 43620",,,,
560 Frazee Ave,Field Manor Apartments,108,C,Bowling Green,OH,43402-1973,800.00,0.78,626,,,,,,,0.0,1981,,,108,,,GreenBriar Inc.,445 E Wooster St,"Bowling Green, OH 43402    ",,4193520717,GreenBriar - Filed Manor Apartments,4193520717,Field Manor Llc,,,445 Wooster St,"Bowling Green, OH 43402",,,626,
5383 Lewis Ave,Coleman Village,150,C,Toledo,OH,43612-3136,800.00,,,,,,,,,5.9,,,150,,,,Coleman Village Mhp,5383 Lewis Ave,"Toledo, OH 43612",,,Coleman Village,4194761661,Coleman Village Mhp,,,5383 Lewis Ave,"Toledo, OH 43612",,,,
7223 Lighthouse Way,Harbor Town Townhomes,54,A,Perrysburg,OH,43551-7053,"1,600.00",1.44,"2,297",,,,,,,46.0,2021,,,,54,,MVAH Partners LLC,9100 Centre Pointe Dr Suite # 210,"West Chester, OH 45069-4846",Brian McGeady,5139641152,Noneman - Harbor Town Townhomes,5673366008,Harbor Town Senior Residence Llc,,,,,,,,"2,165"
701 E Lutz Rd,East Garden Apartments,50,B,Archbold,OH,43502-3219,"1,020.00",,,,,,,,,0.8,,,,35,15,,"Deardorf Property Management, Inc.",1310 County Road 12,"Corunna, IN 46730",,2602812500,Deardorf - East Garden Apartments,4194452808,Archbold Limited Partnership,,,,,,,,
450-475 W Main St,Green Acres,100,C,Delta,OH,43515-9311,800.00,,,,,,,,,2.3,1900,,100,,,,Green Acres Spe Llc,,,,,Green Acres,4194051152,Green Acres Spe Llc,,,,,,,,
4436 Navarre Ave,Oregon Senior Lofts,81,B,Oregon,OH,43616,762.00,0.87,660,,,,,,,,2020,,62,19,,,MVAH - Cicero Senior Lofts,4835 S Cicero Ave,"Chicago, IL 60632",Brian McGeady,8334081049,MVAH - Oregon Senior Lofts,4197250850,Oregon Senior Lofts Llc,,,9100 Centre Pointe Dr,"West Chester, OH 45069",627,,764,
1120 N Shoop Ave,Star Mobile Court,50,C,Wauseon,OH,43567-2200,800.00,,,,,,,,,2.3,,,50,,,,Fowler Waseon Star Llc,560 Kirtz Blvd Suite # 112,"Troy, MI 48084",Carol Fowler Birch,5867377529,Star Mobile Court,4194462701,Fowler Waseon Star Llc,,5867377529,560 Kirtz Blvd Suite # 112,"Troy, MI 48084",,,,
1170 N Shoop Ave,Fulton Place Apartments,70,C,Wauseon,OH,43567,609.00,0.87,532,,,,,,,,1970,,60,10,,,Skates Apartments I Llc,1082 N Ottokee St,"Wauseon, OH 43567",Brian Skates,4193355645,Fulton Place Apartments,4193355645,Skates Apartments I Llc,,4193355645,1082 N Ottokee St,"Wauseon, OH 43567",515,,627,
1285 N Shoop Ave,Timber Creek,100,C,Wauseon,OH,43567-1847,800.00,,,,,,,,,2.3,,,100,,,,"ORP, LLC",219 E Washington St,"Napoleon, OH 43545    ",,4195990301,Timber Creek,4195990301,"ORP, LLC",,4195990301,219 E Washington St,"Napoleon, OH 43545    ",,,,
7856 State Route 108,Buckeye Estates,50,C,Wauseon,OH,43567-9291,800.00,,,,,,,,,2.3,,,50,,,,Russell D Paxson,,,,,Buckeye Estates,4193378486,Russell D Paxson,,,,,,,,
6125 Telegraph Rd,PK Mobile Homes,50,C,Toledo,OH,43612-4562,800.00,,,,,,,,,5.9,1924,,50,,,,Moonlight Mobile Homeparks Inc An Oh Cor,4310 Birchtree Dr,"Toledo, OH 43623",Larry Ward,4198413161,PK Mobile Homes,4194740693,Moonlight Mobile Homeparks Inc An Oh Cor,,4198413161,4310 Birchtree Dr,"Toledo, OH 43623",,,,
2841 Terrace Downs St,,52,C,Toledo,OH,43614-5403,,,,,,,,,,4.1,1963,,,,,,Steinbauer Properties Llc,2345 Heatherwood Dr,"Toledo, OH 43614-3243",,4402869694,Steinbauer Development,4193824210,Steinbauer Properties Llc,,4402869694,2345 Heatherwood Dr,"Toledo, OH 43614-3243",,,,
7098 S Winners Cir,Victory Place Townhomes,79,B,Perrysburg,OH,43551-4545,"1,274.00",,,,,,,,,,2006,,,79,,,Mecca Management,1045 N Main St Suite # 7B,"Bowling Green, OH 43402    ",,4193535800,Mecca Management - Victory Place,4193535800,A & M Green Family Limited Partnership,,,1045 N Main St,"Bowling Green, OH 43402",,,,
